Items,Capacity,ExecutionTime,NormalizedTime
10,50,38700,77.4
10,100,59100,59.1
10,150,75900,50.6
10,200,106300,53.15
10,250,131200,52.48
10,300,152900,50.96666666666667
10,350,175000,50.0
10,400,203100,50.775
10,450,227700,50.6
10,500,251600,50.32
20,50,47200,47.2
20,100,97900,48.95
20,150,149900,49.96666666666667
20,200,200600,50.15
20,250,240600,48.12
20,300,299200,49.86666666666667
20,350,344700,49.24285714285714
20,400,384700,48.0875
20,450,61500,6.833333333333333
20,500,90900,9.09
30,50,16600,11.066666666666666
30,100,30800,10.266666666666667
30,150,31700,7.044444444444444
30,200,74900,12.483333333333333
30,250,49900,6.653333333333333
30,300,62900,6.988888888888889
30,350,65200,6.20952380952381
30,400,74700,6.225
30,450,84900,6.288888888888889
30,500,90900,6.06
40,50,13900,6.95
40,100,25700,6.425
40,150,37700,6.283333333333333
40,200,52800,6.6
40,250,61500,6.15
40,300,73900,6.158333333333333
40,350,89100,6.364285714285714
40,400,102400,6.4
40,450,109100,6.061111111111111
40,500,124200,6.21
50,50,16900,6.76
50,100,33000,6.6
50,150,46400,6.1866666666666665
50,200,61200,6.12
50,250,84300,6.744
50,300,91100,6.073333333333333
50,350,176200,10.06857142857143
50,400,229400,11.47
50,450,189300,8.413333333333334
50,500,160900,6.436
60,50,19500,6.5
60,100,37000,6.166666666666667
60,150,60100,6.677777777777778
60,200,74900,6.241666666666666
60,250,92400,6.16
60,300,116300,6.461111111111111
60,350,130600,6.219047619047619
60,400,155200,6.466666666666667
60,450,163400,6.051851851851852
60,500,187900,6.263333333333334
70,50,22500,6.428571428571429
70,100,43200,6.171428571428572
70,150,66100,6.295238095238095
70,200,85800,6.128571428571429
70,250,111200,6.354285714285714
70,300,234900,11.185714285714285
70,350,262300,10.706122448979592
70,400,271600,9.7
70,450,6033500,191.53968253968253
70,500,180900,5.168571428571428
80,50,33400,8.35
80,100,105200,13.15
80,150,113500,9.458333333333334
80,200,135200,8.45
80,250,134100,6.705
80,300,148300,6.179166666666666
80,350,189900,6.7821428571428575
80,400,161500,5.046875
80,450,203900,5.663888888888889
80,500,303000,7.575
90,50,51200,11.377777777777778
90,100,143000,15.88888888888889
90,150,169200,12.533333333333333
90,200,102100,5.6722222222222225
90,250,104000,4.622222222222222
90,300,116900,4.32962962962963
90,350,181800,5.771428571428571
90,400,205500,5.708333333333333
90,450,227000,5.604938271604938
90,500,247500,5.5
100,50,86300,17.26
100,100,116400,11.64
100,150,127100,8.473333333333333
100,200,150700,7.535
100,250,169400,6.776
100,300,180100,6.003333333333333
100,350,206300,5.894285714285714
100,400,236400,5.91
100,450,244000,5.4222222222222225
100,500,271100,5.422
