ArraySize,Case,ExecutionTime(ns)
1000,BestCase,985900
1000,AverageCase,352100
1000,WorstCase,112000
1000,AlmostSorted,143699
2000,BestCase,237399
2000,AverageCase,312999
2000,WorstCase,218500
2000,AlmostSorted,266899
3000,BestCase,347099
3000,AverageCase,530200
3000,WorstCase,379300
3000,AlmostSorted,710601
4000,BestCase,347600
4000,AverageCase,587000
4000,WorstCase,360600
4000,AlmostSorted,409300
5000,BestCase,354800
5000,AverageCase,1394400
5000,WorstCase,999400
5000,AlmostSorted,547801
6000,BestCase,547000
6000,AverageCase,921901
6000,WorstCase,596500
6000,AlmostSorted,1130001
7000,BestCase,584800
7000,AverageCase,2995100
7000,WorstCase,553600
7000,AlmostSorted,800900
8000,BestCase,794601
8000,AverageCase,1340199
8000,WorstCase,1048701
8000,AlmostSorted,1612499
9000,BestCase,1019900
9000,AverageCase,3100301
9000,WorstCase,976700
9000,AlmostSorted,1198601
10000,BestCase,1166900
10000,AverageCase,1844800
10000,WorstCase,1102500
10000,AlmostSorted,4767100
